tmpd,dptp,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
48,46.7,11.5,20.61538462,2.800010979,20.91607378
18,7.1,10.2,30.75,5.708333333,28.475
23,21.9,38.1,32.46153846,3.180555556,25.3
28,25.8,33.95,38.69230769,1.75,29.3762987
37,30.6,21.4,30.16666667,3.097222222,30.31666667
32,25.6,13.9,12.76923077,24.73852657,14.08442029
39,33.9,29.5,62.84615385,4.977657005,36.24163373
42,35.3,22.55,33.69230769,11.43055556,22.21666667
44,35,27.75,39.07692308,11.83333333,23.3
41,33.2,16.5,21.23076923,12.68055556,28.10833333
34,27.9,19.6,31.92307692,9.09469697,29.22467062
18,6.7,18.9,36.90909091,15.02445652,32.53891304
45,41.9,26.4,35.16666667,4.890700483,31.31054779
40,23.3,15.95,31.46153846,17.60013175,36.11376812
73,59.4,15.6,30.08333333,27.25,14.66575574
44,37.1,9.1,14.5,14.87375734,21.36742424
41,35,7,10.5,20.60457839,16.88442029
41,28.1,2.1,6.5,29.43939394,13.2
41,23.7,6.4,16,21.35606061,23.01666667
48,32.6,14.9,33.5,20.91666667,29.23333333
52,39.4,27.6,43,20.3433161,25.18188406
48,46.3,22.7,20.5,9.661231884,26.20398551
43,32.8,14.3,13.5,26.04412055,16.78349802
46,27,11.9,15.5,25.79583333,24.99166667
50,34.9,16.95,31,22.43333333,32.575
53,46.6,23.6,36,15.57069709,26.23336627
42,40,8.5,13,11.79084322,20.01224199
45,30.2,11.55,20.15384615,18.49571805,30.18810387
50,32.1,16.1,36,22.59848485,29.69444444
52,33,20,26,29.3030303,29.84027778
56,35.6,18.5,44.69230769,18.3115448,47.81557971
62,36.5,16.8,44,26.77536232,30.43949275
56,46.8,23.2,35,30.70454546,22.025
48,43.3,18.4,24,28.34469697,12.675
45,27.5,8.5,10.5,31.36149539,12.025
46,33.8,18.2,24.5,22.68560606,21.83333333
54,48.4,29.45,51,14.46086358,23.54202899
55,51.3,39.4,34,10.78623188,25.31309524
59,53.7,35.4,28.5,14.29512517,31.42904589
57,52,33.3,35,20.66287879,26.79861111
53,50.3,19.3,18.5,22.88257576,15.78472222
60,47,18.9,28,21.81735837,27.15277778
62,54.1,28,43,21.31908013,35.47916667
68,56.8,23.9,35,25.02272727,33.03200483
57,56,32.1,34.5,24.27042161,33.99166667
62,51.3,16.9,21,36.54056089,17.86721015
58,43.5,7.9,13.5,26.6780303,14.59375
58,40.1,6.6,11,29.11742424,14.8125
61,48.1,11.75,28.66666667,23.07438017,22.23257576
63,55.1,23.5,46,35.24734998,22.975
68,52.5,15.6,35,31.6682971,28.94001035
68,55.4,26.2,48,35.2766469,38.43181818
75,65.8,56.5,91,38.57300725,29.0326087
72,50.9,7.3,37.5,36.25416667,15.58333333
68,49.2,10.6,34,28.75416667,31.84166667
76,49.4,13.2,79,38.11105073,31.27463768
79,61,25.9,78,37.38003663,44.20833333
65,52.8,12.2,37.5,21.95452899,34.2761199
64,46.9,5.7,26,26.74757894,21.83275692
57,47.9,9,28,22.73484849,17.38888889
61,45.5,10.1,31.92307692,34,14.54166667
61,54.3,19.4,27,33.25378788,16.26388889
62,48.3,11.6,17.5,37.9469697,17.3125
63,45.7,27.7,40.5,26.91172596,38.24698068
67,52.8,29.5,59.5,37.26119895,39.26957071
75,64.3,25.6,72,34.33222756,30.11956522
74,62.3,12.3,29.84615385,29,32.94444444
73,62.7,18.9,49.5,33.47348485,27.68055556
70,60.2,10.4,29.5,40.26515152,11.63194444
63,45.7,10,29.5,28.19153491,21.73611111
63,50.7,7.8,38.5,26.73293209,22.01190476
55,45.7,7.1,22,14.86775362,24.51564559
56,37.7,6.85,26.5,23.33876812,24.67361111
50,41.6,9.4,9.5,21.35589592,14.26388889
54,38.9,11.8,20.5,9.125,28.77083333
58,41.1,8.4,15,23.89393939,20.02083333
56,46,19,33.5,18.4759552,31
61,59,33.8,26,17.89081028,25.49667874
68,58,27.15,37,23.24160079,25.75590141
68,65.8,23.1,31.5,18.7687747,27.44535024
74,61.5,11.7,27,33.76239669,19.74245169
69,58.2,15.5,18.5,33.56439394,23.36805556
67,57.5,20,26.5,29.09090909,27.34027778
70,58.7,19.4,23,29.63429752,21.55555556
70,61.2,14.1,39.5,16.03326746,31.31448413
73,63.7,20.3,37,22.49225955,31.13647343
77,69.3,22,52.5,37.26273035,25.67929293
73,61.2,9.7,28,32.88389328,23.27083333
78,68,16.7,33,33.88257576,26.17361111
79,66,13.7,21.5,34.46969697,22.11805556
74,61.9,12.55,31.08333333,28.76893939,24.36111111
74,60.6,15.7,38.5,41.72134387,29.34848485
83,70.2,25.4,59,37.88265062,28.76520641
